CharityRegistrationNumber,Name,StreetAddressLine1,StreetAddressLine2,StreetAddressSuburb,StreetAddressCity,StreetAddressPostcode,StreetAddressCountry,Latitude,Longitude
CC54545,Pinehurst School Group,75 Bush Road, ,Albany,Auckland,632,New Zealand,-36.7398795,174.7044456
CC54568,High Country Medical Group,15 Mackenzie Drive,Twizel 7901, ,Twizel,7901,New Zealand,-44.260799,170.0977192
CC54585,The Anchor Church Group,1 Joseph Banks Drive, ,Whitby,Porirua,5024,New Zealand,-41.1084241,174.9022086
CC54600,Hospice Mid-Northland,464 Kerikeri Road,RD 3, ,Kerikeri,293,New Zealand,-35.2425355,173.9365876
CC54639,Toi Maori Aotearoa Group,150 Featherston Street, ,Wellington Central,Wellington,6011,New Zealand,-41.2832683,174.776867
CC54643,The Diocese of Auckland Group,12 St Stephens Avenue, ,Parnell,Auckland,1052,New Zealand,-36.858224,174.7839653
CC54648,The Skills Organisation Group,"LEVEL 2. Building C, Millennium Centre,",600 Great South Road,Ellerslie,AUCKLAND,1015,New Zealand,-36.8968073,174.8023089
CC54698,Pinnacle Group,NORRIS WARD MCKINNON BUILDING,711 Victoria Street,Hamilton Central,Hamilton,3204,New Zealand,-37.7832023,175.2789311
CC54732,Te Urumingi Whanau Trust Group,C/- TIM MURRAY,227 Cambridge Street, ,Levin,5510,New Zealand,-40.6149155,175.2954991
CC54737,CUE Haven,2704 Kaipara Coast Highway,Glorit 0984, ,Glorit,984,New Zealand,-36.498403,174.451646
CC54762,The Society of Mary New Zealand Companies,219 Thorndon Quay,219 Thorndon Quay,Pipitea,Wellington,6011,New Zealand,-41.2713247,174.7815291
CC54771,YMCANZ incl Foundation and Great War Trusts,93 Hutt Park Road,191 Thorndon Quay,Moera,Lower Hutt,5010,New Zealand,-41.2344489,174.9055404
CC54809,Central Lakes Trust Group,190 Waenga Drive,, ,Cromwell,9310,New Zealand,-45.0378039,169.1959706
CC54822,Central Otago Living Options Charitable Group,29 Ngapara Street,, ,Alexandra,9320,New Zealand,-45.2440931,169.3963337
CC54819,Cerebral Palsy Society Group ,Suite 12,Floor G,Mount Eden,Auckland,1024,New Zealand,-36.8975396,174.7567771
CC54874,NOHONGA ORA,15A Ronwood Avenue, ,Manukau,Auckland,2104,New Zealand,-36.9906761,174.8758777
CC54892,Doc Edge,175 Khyber Pass Road,72 Dominion Rd,Grafton,Auckland,1023,New Zealand,-36.8652888,174.7661089
CC54895,Driving Creek Railway,380 Driving Creek Road,, ,Coromandel,3506,New Zealand,-36.7371178,175.50335
CC54900,McAuley Trust Group,7 New Street, ,Saint Marys Bay,Auckland,1011,New Zealand,-36.846284,174.7481197
CC54950,NZSD Group,Te Whaea: National Dance and Drama Centre,11 Hutchison Road,Newtown,Wellington,6021,New Zealand,-41.3077456,174.7742363
CC54982,Halberg Trust Group,"Unit 2.5, 1 Cleveland Road", ,Parnell,Auckland,1052,New Zealand,-36.8523869,174.7827013
